The SAS System,Data Source: Panorama,,,Data pull,1/16/2017,,"Note: Prenatal registration data collection in Panorma started sporadically in 2013, data not stable until 2014Q03"
,,,,,,,
Region,quarter,birthcnt,prenatcnt,prenatrate,,,
Fraser Health,2014Q03,3647,2677,73.40%,,,
Fraser Health,2014Q04,3443,2473,71.80%,,,
Abbotsford,2014Q03,411,358,87.10%,,,
Abbotsford,2014Q04,365,298,81.60%,,,
Agassiz,2014Q03,18,11,61.10%,,,
Agassiz,2014Q04,16,9,56.30%,,,
Burnaby,2014Q03,316,171,54.10%,,,
Burnaby,2014Q04,304,141,46.40%,,,
Chilliwack,2014Q03,243,180,74.10%,,,
Chilliwack,2014Q04,209,165,78.90%,,,
Cloverdale,2014Q03,252,214,84.90%,,,
Cloverdale,2014Q04,204,160,78.40%,,,
Guildford,2014Q03,215,179,83.30%,,,
Guildford,2014Q04,196,164,83.70%,,,
Hope,2014Q03,21,12,57.10%,,,
Hope,2014Q04,7,6,85.70%,,,
Langley,2014Q03,375,328,87.50%,,,
Langley,2014Q04,283,249,88.00%,,,
Maple Ridge,2014Q03,240,127,52.90%,,,
Maple Ridge,2014Q04,209,105,50.20%,,,
Mission,2014Q03,117,98,83.80%,,,
Mission,2014Q04,106,88,83.00%,,,
New Westminster,2014Q03,126,67,53.20%,,,
New Westminster,2014Q04,133,76,57.10%,,,
Newton,2014Q03,353,304,86.10%,,,
Newton,2014Q04,371,321,86.50%,,,
North Delta,2014Q03,105,87,82.90%,,,
North Delta,2014Q04,114,92,80.70%,,,
North Surrey,2014Q03,291,241,82.80%,,,
North Surrey,2014Q04,294,245,83.30%,,,
South Delta,2014Q03,11,8,72.70%,,,
South Delta,2014Q04,9,8,88.90%,,,
Tricities,2014Q03,572,126,46.30%,,,
Tricities,2014Q04,642,164,50.90%,,,
White Rock,2014Q03,131,100,76.30%,,,
White Rock,2014Q04,141,107,75.90%,,,
